id;tipo;archivo;nombre;extension;usuario_id
1;8788;Frozen;Cambridgeshire Customer;Liaison;1
2;16942;Generic matrix;Berkshire Cove;Awesome Incredible Wooden Keyboard;2
3;32144;motivating neural;copy overriding wireless;Cordoba Oro Gorgeous system-worthy;3
4;42722;Tasty Rubber Car;Saint Helena Industrial Rest;holistic Generic Steel Pants;4
5;83078;Plastic compressing;reciprocal Awesome Soft Hat Forward;navigating Fantastic;5
6;26662;copy;JSON;Generic;6
7;92935;Bedfordshire;Faroe Islands input;Sierra Leone;7
8;95486;groupware;array Soap;calculating invoice drive;8
9;63241;parse Palladium;invoice synthesizing;attitude;9
10;25812;RAM toolset;Berkshire Automotive;Lao People's Democratic Republic Extensions;10
