id;nivel_estudio;estado;fecha_inicio;fecha_fin;titulo_otorgado;usuario_id
1;55342;99701;2020-05-17;2020-05-16;website Dynamic Enhanced;1
2;5867;18599;2020-05-17;2020-05-17;neural Assurance;2
3;50664;35290;2020-05-17;2020-05-17;Spurs;3
4;4031;55935;2020-05-16;2020-05-17;Stravenue one-to-one Multi-layered;4
5;4461;35146;2020-05-17;2020-05-16;target Sports;5
6;30436;73855;2020-05-17;2020-05-16;sensor Gorgeous Cotton Car;6
7;51699;12532;2020-05-17;2020-05-17;morph program;7
8;85075;86011;2020-05-17;2020-05-16;Fantastic Metal Tuna Soap;8
9;35001;98178;2020-05-16;2020-05-17;Health web-enabled Wyoming;9
10;46946;50224;2020-05-17;2020-05-17;methodology open architecture lavender;10
