id;descripcion;titulo;salario;cargo;experiencia;ciudad;area;fecha_publicacion;estado;usuario_id
1;Buckinghamshire;forecast;87526;98728;Hong Kong Dollar synthesize Virginia;54619;62108;2020-05-16;a;1
2;Money Market Account Netherlands Antilles Legacy;Small virtual;540;67273;Books;46470;81208;2020-05-17;T;2
3;Steel parsing initiatives;Berkshire Avon Clothing;52671;36825;payment;72332;36247;2020-05-17;p;3
4;Mountain Intranet;syndicate enterprise payment;2464;86035;unleash Home Loan Account Marshall Islands;88679;799;2020-05-17;s;4
5;matrix;Michigan;97567;2656;Balboa US Dollar solid state;98195;63516;2020-05-17;S;5
6;incentivize Rubber;revolutionize;62988;37177;Plastic turquoise West Virginia;3955;30049;2020-05-17;m;6
7;Table;Baht;92097;17611;Well digital;45381;59612;2020-05-17;I;7
8;navigate client-driven;Gorgeous transmit;35814;3337;Lempira;82259;51139;2020-05-17;E;8
9;firewall Forest Pants;HDD;11060;54710;Credit Card Account;47924;36615;2020-05-17;i;9
10;Central African Republic Executive Avon;connecting;93391;65446;synthesizing solutions Antarctica (the territory South of 60 deg S);14239;62374;2020-05-17;P;10
